box,harness,model,seed,holdout_auc,best_eval_auc,frame_stats,n_hits,note,kinds,where,lines
runs,hermes,glm-5.3-flash,27,0.711555991988,0.7635,True,20,,groupby;transform,_base_features;_te_key,"122: cong_o = _d.groupby([""_d"", ""Origin""], dropna=False)[""Origin""].transform(""size"") | 123: cong_d = _d.groupby([""_d"", ""Dest""], dropna=False)[""Dest""].transform(""size"") | 126: cong_ohb = _dh.groupby([""_d"", ""Origin"", ""_hb""], dropna=False)[""Origin""].transform(""size"") | 127: cong_c = _d.groupby([""_d"", ""UniqueCarrier""], dropna=False)[""UniqueCarrier""].transform(""size"") | 128: cong_day = _d.groupby(""_d"", dropna=False)[""_d""].transform(""size"")"
runs,hermes,glm-5.3-flash,28,0.721216576986,0.7204,False,0,,,,
runs,hermes,glm-5.3-flash,29,0.8059005792039999,0.9988,False,0,,,,
runs,hermes,glm-5.3-flash,30,0.721522168392,0.8988,False,0,,,,
runs,hermes,glm-5.3-flash,31,0.745232004684,0.7438,False,0,,,,
runs,hermes,glm-5.3-flash,32,0.751354663756,0.7509,False,0,,,,
runs,hermes,glm-5.3-flash,33,0.74035107814,0.7404,False,0,,,,
runs,hermes,glm-5.3-flash,34,0.727915112944,0.7272,False,0,,,,
runs,hermes,glm-5.3-flash,35,0.745412672524,0.7459,False,0,,,,
runs,hermes,glm-5.3-flash,36,0.785453706774,0.9833,False,0,,,,
runs,hermes,glm-5.3-flash,37,0.7427963210640001,0.7421,False,0,,,,
runs,hermes,glm-5.3-flash,38,0.7154643788780002,0.7145,False,0,,,,
runs,hermes,glm-5.3-flash,39,0.738780621574,0.7384,False,0,,,,
runs,opencode,deepseek-4.1-flash,27,0.744244082824,0.7438,False,0,,,,
runs,opencode,deepseek-4.1-flash,28,0.748773260736,0.7483,False,0,,,,
runs,opencode,deepseek-4.1-flash,29,0.72080400563,0.7203,False,0,,,,
runs,opencode,deepseek-4.1-flash,30,0.7247706744239999,0.7241,False,0,,,,
runs,opencode,deepseek-4.1-flash,31,0.738537416494,0.7377,False,0,,,,
runs,opencode,deepseek-4.1-flash,32,0.7417829075960001,0.7418,False,0,,,,
runs,opencode,deepseek-4.1-flash,33,0.7539765469220001,0.7534,False,0,,,,
runs,opencode,deepseek-4.1-flash,34,0.7253812938680001,0.7242,False,0,,,,
runs,opencode,deepseek-4.1-flash,35,0.7215341838279999,0.7209,False,0,,,,
runs,opencode,deepseek-4.1-flash,36,0.7374129018519999,0.7351,False,0,,,,
runs,opencode,deepseek-4.1-flash,37,0.733236286082,0.7329,False,0,,,,
runs,opencode,deepseek-4.1-flash,38,0.73649407556,0.7354,False,0,,,,
runs,opencode,deepseek-4.1-flash,39,0.747777616188,0.7436,False,0,,,,
runs,opencode,glm-5.3-flash,27,0.729075796748,0.7287,False,0,,,,
runs,opencode,glm-5.3-flash,28,0.72611472765,0.7245,False,0,,,,
runs,opencode,glm-5.3-flash,29,0.7366131223179999,0.7355,False,0,,,,
runs,opencode,glm-5.3-flash,30,0.742442784674,0.7411,False,0,,,,
runs,opencode,glm-5.3-flash,31,0.753205363642,0.7534,False,0,,,,
runs,opencode,glm-5.3-flash,32,0.7354113910919999,0.7366,False,0,,,,
runs,opencode,glm-5.3-flash,33,0.759609318876,0.7602,False,0,,,,
runs,opencode,glm-5.3-flash,34,0.7525451461740001,0.7512,False,0,,,,
runs,opencode,glm-5.3-flash,35,0.742681523516,0.7418,False,0,,,,
runs,opencode,glm-5.3-flash,36,0.731310972394,0.731,False,0,,,,
runs,opencode,glm-5.3-flash,37,0.7475961319039999,0.7471,False,0,,,,
runs,opencode,glm-5.3-flash,38,0.743785399686,0.7435,False,0,,,,
runs,opencode,glm-5.3-flash,39,0.7398533769240001,0.7376,False,0,,,,
runs,pi,deepseek-4.1-flash,27,0.746209501524,0.7462,False,0,,,,
runs,pi,deepseek-4.1-flash,28,0.7529350013439999,0.7521,False,0,,,,
runs,pi,deepseek-4.1-flash,29,0.72446775876,0.7233,False,0,,,,
runs,pi,deepseek-4.1-flash,30,0.7564078847159998,0.7566,False,0,,,,
runs,pi,deepseek-4.1-flash,31,0.750933238334,0.7511,False,0,,,,
runs,pi,deepseek-4.1-flash,32,0.7502477343339999,0.7474,False,0,,,,
runs,pi,deepseek-4.1-flash,33,0.7567363173399999,0.7563,False,0,,,,
runs,pi,deepseek-4.1-flash,34,0.733034939548,0.7316,False,0,,,,
runs,pi,deepseek-4.1-flash,35,0.7450628243940001,0.7446,False,0,,,,
runs,pi,deepseek-4.1-flash,36,0.761273795958,0.7603,False,0,,,,
runs,pi,deepseek-4.1-flash,37,0.7227182272920001,0.722,False,0,,,,
runs,pi,deepseek-4.1-flash,38,0.725632047828,0.7248,False,0,,,,
runs,pi,deepseek-4.1-flash,39,0.7605417501299999,0.7606,False,0,,,,
runs,pi,glm-5.3-flash,27,0.731051015672,0.7289,False,0,,,,
runs,pi,glm-5.3-flash,28,0.7387094593479999,0.7379,False,0,,,,
runs,pi,glm-5.3-flash,29,0.72649554758,0.7255,False,0,,,,
runs,pi,glm-5.3-flash,30,0.7373692157980001,0.7371,False,0,,,,
runs,pi,glm-5.3-flash,31,0.74634555777,0.7442,False,0,,,,
runs,pi,glm-5.3-flash,32,0.7262771311160001,0.7248,False,0,,,,
runs,pi,glm-5.3-flash,33,0.72714111663,0.7275,False,0,,,,
runs,pi,glm-5.3-flash,34,0.746034162812,0.7459,False,0,,,,
runs,pi,glm-5.3-flash,35,0.739236611566,0.7373,False,0,,,,
runs,pi,glm-5.3-flash,36,0.722021335912,0.7209,False,0,,,,
runs,pi,glm-5.3-flash,37,0.719806775952,0.7192,False,0,,,,
runs,pi,glm-5.3-flash,38,0.755516265166,0.7563,False,0,,,,
runs,pi,glm-5.3-flash,39,0.733102128294,0.7324,False,0,,,,
runs,hermes,deepseek-4.1-flash,40,0.743053882022,0.7419,False,0,,,,
runs,hermes,deepseek-4.1-flash,41,0.738642691588,0.7377,False,0,,,,
runs,hermes,deepseek-4.1-flash,42,0.736833327464,0.7356,False,0,,,,
runs,hermes,deepseek-4.1-flash,43,0.7476398140320001,0.7465,False,0,,,,
runs,hermes,deepseek-4.1-flash,44,0.737823198728,0.7371,False,0,,,,
runs,hermes,deepseek-4.1-flash,45,0.7409467300439999,0.7407,False,0,,,,
runs,hermes,deepseek-4.1-flash,46,0.7395051838059999,0.7383,False,0,,,,
runs,hermes,deepseek-4.1-flash,47,0.7400705501560001,0.7408,False,0,,,,
runs,hermes,deepseek-4.1-flash,48,0.745843062918,0.7453,False,0,,,,
runs,hermes,deepseek-4.1-flash,49,0.741338703726,0.7409,False,0,,,,
runs,hermes,deepseek-4.1-flash,50,0.748110929094,0.7476,False,0,,,,
runs,hermes,deepseek-4.1-flash,51,0.758871290088,0.76,False,0,,,,
runs,hermes,deepseek-4.1-flash,52,0.755038178026,0.7554,False,0,,,,
runs,hermes,glm-5.3-flash,40,0.747278223446,0.7465,False,0,,,,
runs,hermes,glm-5.3-flash,41,0.7589738519139999,0.7589,False,0,,,,
runs,hermes,glm-5.3-flash,42,0.7446055319639999,0.7437,False,0,,,,
runs,hermes,glm-5.3-flash,43,0.7189069446659999,0.7186,False,0,,,,
runs,hermes,glm-5.3-flash,44,0.8230873127639999,1.0,False,0,,,,
runs,hermes,glm-5.3-flash,45,0.741167560564,0.7393,False,0,,,,
runs,hermes,glm-5.3-flash,46,0.74989035839,0.7506,False,0,,,,
runs,hermes,glm-5.3-flash,47,0.7223570691360001,0.7213,False,0,,,,
runs,hermes,glm-5.3-flash,48,0.7547551003340001,0.7549,False,0,,,,
runs,hermes,glm-5.3-flash,49,0.8125037078820001,1.0,False,0,,,,
runs,hermes,glm-5.3-flash,50,0.742823205964,0.7433,False,0,,,,
runs,hermes,glm-5.3-flash,51,0.754539189698,0.7539,False,0,,,,
runs,hermes,glm-5.3-flash,52,0.7305548813779998,0.7293,False,0,,,,
runs,opencode,deepseek-4.1-flash,40,0.719931705476,0.7191,False,0,,,,
runs,opencode,deepseek-4.1-flash,41,0.738617303604,0.7366,False,0,,,,
runs,opencode,deepseek-4.1-flash,42,0.747557612254,0.7464,False,0,,,,
runs,opencode,deepseek-4.1-flash,43,0.739677857466,0.739,False,0,,,,
runs,opencode,deepseek-4.1-flash,44,0.748993578692,0.7495,False,0,,,,
