box,harness,model,seed,counted,source,status,holdout_auc,holdout_ap,baseline_auc,best_eval_auc,eval_minus_holdout,refit_suspect,violations,violations_hard,violations_review,frame_stats,frame_stats_kinds,frame_stats_lines,best_commit_holdout_auc,delivered_minus_best_commit,n_experiments,n_ok,n_timeout,n_crash,timed_out,stalled,disk_blowup,cpu_killed,cpu_refusals,cpu_over_budget,fits_total,fits_uncounted,cpu_seconds_counted,cpu_seconds_uncounted,cpu_seconds_container,exit_code,endpoint_at_end,final_md_written,provider_error,provider_error_recorded,holdout_error,wall_minutes,tokens_in,tokens_out,started,ended,cpuset,scored_on
var7,hermes,glm-5.3,36,True,runs,scored,0.7469416773600001,0.7363079310911504,0.714770751736,0.7464,-0.0005,False,,,,False,,,0.7469416773600001,0.0,21,18,2,1,False,False,False,False,0,False,295,197,6611.5,10766.7,17909.4,0,ok,True,,,,113.4,9082266,87398,2026-09-17T07:38:21+00:00,2026-09-17T09:31:43+00:00,8-11,Linux-x86_64-docker
var7,hermes,glm-5.3,37,True,runs,scored,0.73743543152,0.7267554448859957,0.714770751736,0.7359,-0.0015,False,suspicious-train-py:holdout,,suspicious-train-py:holdout,False,,,0.73743543152,0.0,40,39,0,1,False,False,False,False,0,False,126,0,3403.5,13.0,3986.4,0,ok,True,,,,32.5,6562524,42981,2026-09-17T08:54:16+00:00,2026-09-17T09:26:44+00:00,12-15,Linux-x86_64-docker
var7,hermes,glm-5.3,38,True,runs,scored,0.7438819639559999,0.7336408928507314,0.714770751736,0.7429,-0.001,False,,,,False,,,0.7438819639559999,0.0,40,39,0,1,False,False,False,False,0,False,241,0,1919.4,3.4,2115.6,0,ok,True,,,,18.7,8340675,52087,2026-09-17T09:54:36+00:00,2026-09-17T10:13:21+00:00,4-7,Linux-x86_64-docker
var7,hermes,glm-5.3,39,True,runs,scored,0.801068092862,0.7961745558057647,0.714770751736,0.8146,0.0135,False,suspicious-train-py:holdout,,suspicious-train-py:holdout,False,,,0.801068092862,0.0,40,39,0,1,False,False,False,False,0,False,263,0,8834.1,1.1,9499.7,0,ok,True,,,,50.5,6245067,56387,2026-09-17T11:01:17+00:00,2026-09-17T11:51:45+00:00,8-11,Linux-x86_64-docker
var8,hermes,glm-5.3,40,True,runs,scored,0.7570962345,0.7458574191151269,0.714770751736,0.758,0.0009,False,,,,False,,,0.7570962345,0.0,25,24,0,1,False,False,False,False,0,False,550,500,4361.8,12812.7,19478.9,0,ok,True,,,,113.4,6896398,50009,2026-09-16T18:20:29+00:00,2026-09-16T20:13:53+00:00,8-11,Linux-x86_64-docker
var8,hermes,glm-5.3,41,True,runs,scored,0.7349496458620001,0.7261394578101483,0.714770751736,0.7351,0.0002,False,,,,False,,,0.7349496458620001,0.0,40,36,1,3,False,False,False,False,0,False,380,0,4066.2,0.3,4497.7,0,ok,True,,,,47.3,7777918,75881,2026-09-16T20:02:58+00:00,2026-09-16T20:50:15+00:00,12-15,Linux-x86_64-docker
var8,hermes,glm-5.3,42,True,runs,scored,0.7460883859459999,0.7292043580656349,0.714770751736,0.7451,-0.001,False,,,,False,,,0.7460883859459999,0.0,37,30,7,0,False,False,False,False,0,False,496,205,10985.4,6533.7,18372.5,0,ok,True,,,,157.4,11719679,106355,2026-09-16T20:19:21+00:00,2026-09-16T22:56:44+00:00,8-11,Linux-x86_64-docker
var8,hermes,glm-5.3,43,True,runs,scored,0.7600165883680001,0.7498366050787357,0.714770751736,0.7612,0.0012,False,suspicious-train-py:holdout,,suspicious-train-py:holdout,False,,,0.7600165883680001,0.0,40,38,0,2,False,False,False,False,0,False,1831,1492,2939.0,14845.9,18473.7,0,ok,True,,,,165.4,18672387,126539,2026-09-16T20:57:41+00:00,2026-09-16T23:43:04+00:00,0-3,Linux-x86_64-docker
var8,hermes,glm-5.3,44,True,runs,scored,0.722392662308,0.7115280347634272,0.714770751736,0.7211,-0.0013,False,,,,False,,,0.722392662308,0.0,40,40,0,0,False,False,False,False,0,False,654,0,1885.5,1.2,2167.7,0,ok,True,,,,22.8,5881520,56718,2026-09-16T23:08:30+00:00,2026-09-16T23:31:15+00:00,12-15,Linux-x86_64-docker
var8,hermes,glm-5.3,45,True,runs,scored,0.717766742326,0.7072958152875721,0.714770751736,0.7175,-0.0003,False,,,,False,,,0.7166183226739999,0.0011,40,39,0,1,False,False,False,False,0,False,40,0,164.9,2.8,229.6,0,ok,True,,,,5.3,1712847,25839,2026-09-17T12:35:09+00:00,2026-09-17T12:40:25+00:00,4-7,Linux-x86_64-docker
